Country,Regulation Status,Policy Lever,Governance Type,Actor Involvement,Enforcement Level,Specific Laws,Sources,Last Updated,Confidence
Afghanistan,"Afghanistan under Taliban governance has no AI legislation, no binding AI rules, and no draft AI law in any legislative process. No AI-specific or AI-adjacent binding instrument of any kind exists or has been proposed as of mid-2026.","There are no policy instruments addressing AI in Afghanistan — no national AI strategy, no published guidance, no sandboxes, no funding programs, and no government body with any AI mandate.","The Taliban-controlled government operates as a highly centralized authority with no dedicated AI regulator, no inter-agency coordination mechanism for AI, no meaningful subnational governance role, and no independent judiciary or civil oversight body capable of reviewing AI-related matters.","No industry consultations, civil society engagement, academic advisory input, or participation in international AI governance forums or declarations has been recorded for Afghanistan under the current Taliban administration.","There is no AI enforcement framework of any kind — no penalties, no enforcement actions, no designated authority, and no monitoring or audit practice related to AI.",,https://oecd.ai/en/dashboards/countries/Afghanistan|https://gpai.ai/|https://www.un.org/en/un-chronicle/artificial-intelligence-and-development,2026-06-13,low
Albania,"Albania has no dedicated AI legislation; the closest binding instruments are Law No. 124/2024 on Personal Data Protection (GDPR-aligned) and Law No. 25/2024 on Cybersecurity, both of which incidentally cover AI use-cases without AI-specific provisions. A National AI Strategy 2025–2030 has been signalled and formal AI-specific drafting is expected only after 2026, aligned with EU accession timetable. Albania signed the Council of Europe Framework Convention on AI (September 2024) but has not ratified it, meaning no binding AI-specific rules are yet in force.","No binding AI-specific instruments exist; policy relies on GDPR-aligned data-protection rules and cybersecurity law applied incidentally to AI. Some guidance has been issued by the IDP Commissioner (e.g. Guidance No. 05/2025 on personal data processing by competent authorities) and AKSHI oversees algorithmic systems in public administration, but AI-specific sandboxes or dedicated funding programmes remain absent. AKSHI's €2.6 million tender for AI-assisted EU acquis transposition represents the main economic tool so far.","Responsibility is distributed across the IDP Commissioner (data protection), AKCESK (cybersecurity), AKSHI (digital government and public-sector AI), the Bank of Albania, and the Competition Authority, constituting a lead-body-plus-sectoral pattern, but coordination is ad hoc rather than formalised. Albania is a unitary state with no subnational AI regulatory role; courts can review decisions involving AI indirectly through administrative and data-protection channels but have not yet actively shaped AI rules.","Industry and civil society participation in AI policy-making is limited to occasional consultations in the EU accession and CoE processes rather than structured domestic forums; academic input is similarly informal. Albania is a signatory to the CoE AI Framework Convention, co-sponsored UN Resolution 78/241 on autonomous weapons, and engages through EU accession processes and Western Balkan digital cooperation, placing it at the level of signatory-to-declarations for international participation.","No AI-specific penalty framework exists; enforcement is channelled through data-protection law (the IDP Commissioner issued six fines in early 2026, triple the prior year's pace) and cybersecurity law, but no authority has an explicit AI remit and monitoring of AI systems per se is not yet systematic.","Law No. 124/2024 on Personal Data Protection (2024), Law No. 25/2024 on Cybersecurity (2024), National Strategy for Digital Agenda 2022–2026, Council of Europe Framework Convention on Artificial Intelligence and Human Rights (signed 2024, not ratified), National Cybersecurity Strategy 2025–2030 (2025)",https://cms.law/en/int/expert-guides/ai-regulation-scanner/albania|https://www.levellers.ai/what-is/ai-regulation-albania|https://www.iss.europa.eu/publications/commentary/artificial-intelligence-real-politics-what-albanias-ai-minister-means-eu|https://www.ey.com/en_al/insights/law/albania-data-protection-commissioner-under-the-new-data-protection-law|https://scidevcenter.org/wp-content/uploads/2026/02/AIACT_Paper_Final.pdf,2026-06-13,medium
Algeria,"Algeria has no binding AI-specific legislation as of mid-2026. The National AI Strategy (adopted December 2024) is a non-binding strategic document with six pillars; the amended data protection law (Law No. 25-11, July 2025) and cybersecurity decrees (Presidential Decree No. 26-07, January 2026) touch AI incidentally but are not AI-directed. Implementation activity exists at the strategic and institutional level (Scientific Council for AI, AI Council, Dzair Digital portal) but no legally enforceable AI rules are in force.","Policy rests entirely on the non-binding 2024 National AI Strategy and alignment with the AU Continental AI Strategy; no binding AI instruments exist. Soft-law outputs are limited to the strategy document itself with no published sectoral guidance or codes of practice. Algérie Télécom invested 1.5 billion dinars in AI/cybersecurity/robotics startups in 2025, and 500+ digitalization projects are planned for 2025-2026, representing nascent economic tooling. Institutional capacity is emerging—the AI Council and the Scientific Council for AI are designated advisory bodies—but remain thinly resourced and advisory only.","AI governance is centralized under the presidency with advisory input from the AI Council and oversight nominally shared between the Ministry of Higher Education (Scientific Council for AI) and the High Commission for Digitalisation; there is no plurality of independent regulators with distinct AI remits. Coordination between ministries appears ad hoc rather than through a formal interministerial AI mechanism, sub-national governments play no independent role, and judicial or independent review of AI decisions is limited to general administrative courts with no dedicated AI mandate.","Industry engagement is largely informal, with state-owned Algérie Télécom participating as an investor and private startups benefiting from funding programs, but no structured formal consultation mechanism exists. Civil society is not visibly included in AI policy processes. Academia is meaningfully engaged via the Scientific Council for AI (chaired by Professor Merouane Debbah), providing advisory input to strategy. Internationally, Algeria aligns with the AU Continental AI Strategy (2024) and maintains some OECD digital economy observer engagement, placing it at the signatory-to-declarations level.","No sanctions framework specific to AI exists; the ANPDP enforces data protection law (including incidental AI data processing) but has published no AI-specific enforcement actions, and no dedicated AI enforcement authority with explicit AI remit and dedicated resources has been established.","National Artificial Intelligence Strategy (2024), Law No. 25-11 amending Law No. 18-07 on Personal Data Protection (2025), Presidential Decree No. 26-07 on Cybersecurity Units in Public Institutions (2026), Presidential Decree No. 25-298 amending Presidential Decree No. 20-05 on Information Systems Security (2025), African Union Continental AI Strategy (2024)",https://digitalpolicyalert.org/event/29116-algerian-government-announces-adoption-of-national-ai-strategy|https://digitalpolicyalert.org/change/14175-algerian-national-artificial-intelligence-strategy|https://www.cookieyes.com/blog/algeria-data-protection-law/|https://cms.law/en/int/expert-guides/cms-expert-guide-to-data-protection-and-cyber-security-laws/algeria2|https://newlinesinstitute.org/middle-east-center/why-algeria-is-positioned-to-become-north-africas-ai-leader/,2026-06-13,medium
Andorra,"Andorra has no dedicated AI legislation enacted or formally tabled in parliament as of mid-2026. AI is governed only indirectly through the general data-protection law (Llei 29/2021 on Personal Data Protection, amended by Llei 12/2024), and the 2024 Council of Europe Framework Convention on AI (CETS 225) has been signed but not ratified or implemented domestically. The voluntary Code of Ethics for AI (February 2024) is non-binding.","No AI-specific binding instruments exist; the only soft-law output is the non-binding 2024 Code of Ethics for AI, aligned with UNESCO and OECD principles. The APDA provides indirect institutional capacity through data-protection enforcement, and the Data Intelligence Agency (AID) mandate within Andorra Digital was established by executive decree with no statutory enforcement powers.","Governance is effectively concentrated in the APDA for data-adjacent AI matters, with the AID advisory role created by decree; there is no multi-regulator structure, no formal inter-agency AI coordination mechanism, and no subnational governance layer. Judicial oversight through general courts provides minimal independent review of data-related AI issues.","Domestic industry, civil society, and academic engagement in AI policy-making is negligible given Andorra's micro-state economy and limited tech sector. Internationally, Andorra is an early signatory to the Council of Europe AI Framework Convention (CETS 225, signed September 2024) and explicitly aligns its Code of Ethics with UNESCO, OECD, and UN AI governance frameworks.","No AI-specific sanctions framework or enforcement actions exist; the APDA can apply data-protection penalties (up to €100,000) that incidentally cover some AI processing, but there is no dedicated AI enforcement authority, no AI audits, and no public AI monitoring or reporting regime.","Llei 29/2021 de protecció de dades personals (LQPD) (2021), Llei 12/2024 (amendment to LQPD) (2024), Codi d'Ètica de la Intel·ligència Artificial d'Andorra (Code of Ethics for AI) (2024), Council of Europe Framework Convention on AI and Human Rights Democracy and the Rule of Law CETS 225 (signed 2024)",https://www.levellers.ai/what-is/ai-regulation-andorra|https://anuragverma.co/worldwatch/andorra/ai|https://dig.watch/resource/andorran-code-of-ethics-for-artificial-intelligence|https://www.apda.ad/noticia/l-apda-verifica-el-compliment-de-la-normativa-andorrana-de-proteccio-de-dades-per-part-dels-partits-politics|https://www.nucamp.co/blog/coding-bootcamp-andorra-and-government-the-complete-guide-to-using-ai-in-the-government-industry-in-andorra-in-2025,2026-06-13,medium
Angola,"Angola's Draft AI Law — proposed by MINTTICS and modeled on the EU AI Act — received general parliamentary approval but had not been fully enacted as of mid-June 2026; it adopts a risk-based classification, strict liability, mandatory watermarking, and extraterritorial reach, placing it squarely in the legislative process. A parallel draft amendment to the Personal Data Protection Law adds a dedicated AI chapter, but neither instrument has yet entered into force, so only paper-level commitments exist.","No binding AI-specific instruments are yet in force; soft-law activity is limited to the 2023–2027 ICT Strategic Framework (LBTIC) and UNESCO's Readiness Assessment Methodology process launched in 2025, with the Agency for Data Protection (APD) designated but without a formal AI mandate or dedicated AI resources.","AI policy sits almost entirely with MINTTICS at the central government level, with APD playing a peripheral data-protection role; there are no formal inter-agency AI coordination mechanisms, no subnational AI roles, and judicial or independent review of AI-related matters remains occasional and incidental.","The public consultation on the draft Data Protection Law revision (March–April 2025) opened limited channels for industry and civil society input, but no standing formal roles exist; Angola participates in African Union AI governance discussions and the UNESCO RAM process, qualifying as a signatory to multilateral declarations.","The draft AI law defines a substantial sanctions framework (fines up to 1.5 billion kwanzas, imprisonment up to 12 years), but it is not yet in force; APD has taken enforcement actions under data protection law but none with an explicit AI basis, and no AI-specific monitoring or auditing practice exists.","Draft Law on Artificial Intelligence (proposed 2025, general parliamentary approval 2025–2026); Draft Amendment to Personal Data Protection Law No. 22/11 (public consultation 2025); ICT Strategic Framework 2023–2027 (LBTIC); Personal Data Protection Law No. 22/11 (2011)",https://anuragverma.co/worldwatch/angola/ai|https://www.techhiveadvisory.africa/insights/review-of-angolas-proposed-law-on-artificial-intelligence|https://allafrica.com/stories/202602030330.html|https://digitalpolicyalert.org/blog/data-protection-in-africa-roundup|https://cms.law/en/int/expert-guides/cms-expert-guide-to-data-protection-and-cyber-security-laws/angola,2026-06-13,medium
Antigua and Barbuda,"Antigua and Barbuda has no AI-specific legislation, no binding AI regulatory instruments, and no draft AI law in the legislative pipeline as of mid-2026. The country remains in a pre-regulatory phase; signing the Santiago Declaration on Ethical AI (2023) constitutes an international soft-law commitment only, with no domestic legal translation.","No dedicated AI policy mechanisms, national AI strategy, guidance documents, sandboxes, or dedicated institutional bodies exist; general ICT and telecommunications frameworks are not tailored to AI governance.",Digital and telecommunications matters fall under the Telecommunications Division and ECTEL (Eastern Caribbean Telecommunications Authority) without any dedicated AI oversight function; there is no multi-body coordination on AI and no independent review mechanism specific to AI.,"No structured domestic consultation processes involve industry, civil society, or academia in AI policy; international engagement is limited to Antigua and Barbuda's participation in CARICOM coordination and its signature on the Santiago Declaration on Ethical AI (2023).","No AI enforcement framework, designated authority, penalties, or monitoring practice of any kind exists in Antigua and Barbuda.","Santiago Declaration on Ethical AI (2023) [international declaration, non-binding]",https://caricom.org|https://oecd.ai/en/dashboards/countries/AntiguaAndBarbuda,2026-06-13,low
Argentina,"Argentina has no enacted binding AI-specific legislation as of mid-2026. Multiple bills—including Bill 3003-D-2024 (responsible AI framework), Bill 4243-D-2025 (data protection in AI systems), and Bill 5945-D-2025 (image rights vs. AI-generated content)—remain in the legislative process without passage. Existing coverage relies on the general Personal Data Protection Law 25,326, with soft guidance from the 2023 AAIP Provision 2/2023 on Recommendations for Reliable AI, placing Argentina between a national-strategy-only posture and active drafting.","Argentina's primary policy mechanisms are soft law: the National AI Strategy (2019), AAIP Provision 2/2023 with AI recommendations, and Resolución 90/2021 establishing an AI capacity-building program. The AAIP is designated for data-protection oversight including AI-adjacent enforcement, but no dedicated AI regulatory body or comprehensive binding instrument exists; economic tools are limited to the Resolución 90/2021 program and some provincial-level digital sandbox activities.","Oversight is fragmented across the AAIP (data protection), the Secretariat of Science and Technology (AI strategy coordination), and sector-specific bodies, but there is no dedicated AI regulator and no formal inter-agency coordination mechanism; some provinces have begun issuing AI-related protocols, and courts can apply existing law to AI cases but have not yet actively shaped a distinct AI jurisprudence.","Industry and academic actors participate in consultation processes around the pending bills and the AAIP's public-private dialogue on data-protection reform, while civil society engagement is occasional rather than institutionalized; internationally, Argentina is a signatory to the Santiago Declaration and Cartagena Declaration, engages with OECD AI policy processes, and maintains bilateral digital-standards cooperation with the EU.","Enforcement is conducted by the AAIP under the general Personal Data Protection Law 25,326, which carries defined penalties applicable to AI-related data misuse; the AAIP has taken isolated ex-officio investigations (including a December 2025 data-breach probe) but there is no dedicated AI enforcement remit, no systematic AI auditing program, and no routine public AI-specific enforcement reporting.","Personal Data Protection Law 25,326 (2000), National AI Strategy (2019), Resolución 90/2021 – Programa de Inteligencia Artificial, Provision 2/2023 – Recommendations for Reliable Artificial Intelligence (AAIP), Bill 3003-D-2024 (pending), Bill 4243-D-2025 (pending), Bill 5945-D-2025 (pending)",https://www.globallegalinsights.com/practice-areas/ai-machine-learning-and-big-data-laws-and-regulations/argentina/|https://www.mofo.com/artificial-intelligence/argentina|https://digital.nemko.com/regulations/ai-regulation-argentina|https://www.jurist.org/commentary/2025/12/why-argentinas-pioneering-privacy-law-is-now-playing-defense-against-ai/|https://oecd.ai/en/dashboards/policy-initiatives/santiago-declaration-to-promote-ethical-artificial-intelligence-in-latin-america-and-the-caribbean-1416,2026-06-13,medium
Armenia,"Armenia signed the Council of Europe Framework Convention on AI (STCE n°225) on 27 January 2026, making it a signatory to a binding international treaty, but has not ratified it or enacted any domestic AI-specific legislation; no binding AI rules are in force nationally. The country's general ICT and high-tech support laws (e.g., Law No. HO-498-N on State Support for the High-Tech Sector, 2025) do not address AI specifically, leaving only indirect, incidental coverage.","Armenia lacks any binding domestic AI-specific instruments; the Ministry of High-Tech Industry has launched soft-law initiatives including an AI Literacy Framework and the AI Virtual Institute (July 2025), and provides economic support through the high-tech sector law, but no dedicated, staffed AI regulatory body exists—coordination remains within the Ministry's broader tech remit.","AI governance is effectively concentrated in the Ministry of High-Tech Industry with no dedicated AI regulator, no formal inter-agency coordination mechanism, and no meaningful subnational role; occasional civil society and journalistic scrutiny (e.g., concerns over the Firebird AI data center) provides minimal independent oversight but no structured review body.","Industry is engaged through public-private partnerships (Nvidia, Firebird.ai, Amazon Web Services) and the AI Virtual Institute, while Yerevan State University provides some academic input; civil society participation is ad hoc and limited, and international engagement is anchored by the Council of Europe Convention signature and Eastern Partnership digital cooperation.","No AI-specific enforcement framework, sanctions, dedicated authority, or monitoring practice exists in Armenia; enforcement of any AI-related obligations would have to rely on general ICT or data protection authorities with no explicit AI remit.","Council of Europe Framework Convention on Artificial Intelligence and Human Rights, Democracy and the Rule of Law (STCE n°225) (signed 2026), Law No. HO-498-N on State Support for the High-Tech Sector (2025), Digital Transformation Strategy (2021-2025)",https://www.coe.int/en/web/artificial-intelligence/-/armenia-signs-the-council-of-europe-s-framework-convention-on-artificial-intelligence-1|https://armenpress.am/en/article/1240664|https://www.loc.gov/item/global-legal-monitor/2025-01-22/armenia-new-law-provides-state-support-for-high-tech-and-it-sectors/|https://eufordigital.eu/armenia-outlines-strategic-resources-and-priorities-for-ai-driven-future/|https://armenpress.am/en/article/1224355,2026-06-13,medium
Australia,"Australia has no dedicated AI Act and has formally abandoned plans for mandatory guardrails in favour of a voluntary, standards-led approach under the National AI Plan (November 2025). The sole near-term binding AI-related obligation is the Privacy Act automated decision-making (ADM) transparency requirement, effective 10 December 2026 but not yet in force as of this assessment. Existing general laws (Privacy Act, Australian Consumer Law, Online Safety Act) apply to AI incidentally rather than by design, placing Australia at a transitional stage between soft and binding coverage.","Policy relies primarily on voluntary AI6 guardrails, the National AI Plan 2025, and sector-specific guidance from OAIC, eSafety and ACCC, constituting a maintained suite of soft-law tools, while binding instruments are limited to the forthcoming Privacy Act ADM amendments; the AU$29.9M AI Safety Institute provides institutional capacity but remains advisory and lightly resourced relative to dedicated enforcement bodies.","Australia distributes AI oversight across multiple independent bodies—OAIC (privacy), eSafety Commissioner (online safety), ACCC (consumer law), AI Safety Institute (evaluation), and the Department of Industry (strategy)—with ad hoc inter-agency coordination rather than a formal statutory mechanism; states and territories implement national rules but do not regulate AI independently, and courts and ombudsman bodies provide occasional independent review (e.g. the 2026 Administrative Review Tribunal ruling on OAIC's Bunnings facial recognition determination).","Industry and civil society are consulted through published government processes and the National AI Plan development, with the Privacy Commissioner and OAIC engaging NGOs and researchers in guidance work; internationally Australia is highly active as a member of the OECD AI Policy Observatory, GPAI, the Quad AI Partnership, AUKUS technology cooperation, and the International Network of AI Safety Institutes.","Enforcement relies on existing sector regulators: OAIC has pursued AI-related privacy investigations (I-MED inquiry 2025, Bunnings facial recognition review 2026) and can levy penalties up to $50 million; ACCC enforces consumer law with penalties up to $100 million, but there is no dedicated AI enforcement authority and no routine AI-specific audit or public reporting regime beyond ad hoc inquiries.","Privacy Act 1988 (as amended, ADM transparency obligations effective December 2026), Australian Consumer Law (Competition and Consumer Act 2010), Online Safety Act 2021, National AI Plan 2025, Voluntary AI Safety Standard (2024)",https://www.minterellison.com/articles/australia-introduces-a-national-ai-plan-four-things-leaders-need-to-know|https://www.twobirds.com/en/capabilities/artificial-intelligence/ai-legal-services/ai-regulatory-horizon-tracker/australia|https://safeaiaus.org/safety-standards/ai-australian-legislation/|https://www.softwareseni.com/australias-ai-safety-institute-explained-funding-functions-and-how-to-engage-with-safety-evaluation/|https://iapp.org/news/a/australia-unveils-ai-policy-roadmap,2026-06-13,medium
Austria,"Austria is directly subject to the EU AI Act (Regulation EU 2024/1689), which is binding and in force: prohibited AI practices apply since February 2025, GPAI obligations since August 2025, and most high-risk AI provisions become applicable in August 2026. The framework provides horizontal, cross-sector coverage, but implementation remains in transition—national competent authority designation was not fully finalized as of mid-2026, and the KI-Servicestelle (established via BGBl I Nr. 6/2024) remains in advisory mode rather than full enforcement mode. Austria relies primarily on the directly applicable EU AI Act rather than a standalone national AI statute, supplemented by the Digital Austria Act 2.0 (2025) for public sector AI and the KI-Umsetzungsplan 2024.","The EU AI Act is the primary binding instrument, with the DSG (Data Protection Act) and sector-specific EU legislation applying in parallel; Austria has not enacted additional binding national AI legislation. Soft law includes KI-Servicestelle guidance, the Leitfaden Digitale Verwaltung: KI, Ethik und Recht (v2.0), and the AIM AT 2030 strategy. Economic tools are relatively active: aws AI Adoption program, FFG/FWF AIM AT funding, AI for Green initiative, and the Digital Überall Plus program. Institutional capacity exists through the KI-Servicestelle and KI-Beirat, but these are advisory; market surveillance and enforcement powers are still being formally assigned.","Governance involves the DSB (data protection and AI enforcement), the RTR/KI-Servicestelle (advisory and competence centre), federal ministries, and the KI-Beirat (expert advisory board), constituting a lead-body-plus-sectoral structure. The AI Stakeholder Forum (March 2024) provides a formal but still maturing cross-actor coordination mechanism, while AI governance is primarily federal with no independent subnational regulatory role; courts and independent bodies (DSB, PDK) conduct occasional review of AI-related decisions.","The AI Stakeholder Forum (since March 2024) brings together industry associations, civil society organisations, and interest groups in structured consultation, while the KI-Beirat provides expert advisory input from technology, law, and ethics domains. Austria participates actively in the EU AI Board, OECD AI Policy Observatory, and the G7 Hiroshima AI Process, giving it a strong international profile, though domestic civil society and academic roles remain consultative rather than standing formal positions.","The EU AI Act's comprehensive penalty framework (fines up to €35M or 7% of global turnover) is legally applicable in Austria, but formal designation of a national AI market surveillance authority was still pending as of mid-2026; the DSB handles data-protection-related AI enforcement (with prior actions on Clearview AI and Microsoft) and the KI-Servicestelle lacks sanctioning powers, so dedicated AI-specific enforcement infrastructure and routine monitoring remain limited.","EU AI Act / Regulation (EU) 2024/1689 (2024), KommAustria-Gesetz amendment establishing KI-Servicestelle / BGBl. I Nr. 6/2024 (2024), TKG 2021 §194a (2024 amendment), Digital Austria Act 2.0 (2025), AIM AT 2030 / AI Mission Austria 2030 (2021), KI-Umsetzungsplan 2024 (2024), Austrian Data Protection Act / DSG (2018, amended), GDPR / Regulation (EU) 2016/679 (2016)",https://cms.law/en/int/expert-guides/ai-regulation-scanner/austria|https://regulations.ai/countries/austria|https://www.oecd.org/en/publications/progress-in-implementing-the-european-union-coordinated-plan-on-artificial-intelligence-volume-1_6d530a88-en/austria_ccf9b51e-en.html|https://artificialintelligenceact.eu/national-implementation-plans/|https://www.eh.at/en/data-protection-supervision-2025-rising-caseloads-and-new-responsibilities/,2026-06-13,medium
